시군명,사업장명,영업상태,인허가일자,도로명주소,지번주소,우편번호,전화번호,WGS84위도,WGS84경도,인허가취소일자,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,업태구분명,X좌표값,Y좌표값,환경업무구분명,업종구분명,종별명,주생산품명,배출시설조업시간,배출시설연간가동일수,방지시설조업시간,방지시설연간가동일수
안양시,(주)건화,영업,20210513,"경기도 안양시 동안구 흥안대로***번길 **, 인덕원성지스타위드 (관양동)",경기도 안양시 동안구 관양동 ***-* 인덕원성지스타위드 ,,0313407500,,,,,,,,,종합 건설업,197480.830605561    ,432318.20341779     ,분뇨등관련영업관리,종합 건설업,,,,0,,0
안양시,(주)이산,영업,20131115,경기도 안양시 동안구 부림로 121 (관양동),경기도 안양시 동안구 관양동 1608-4번지 동아프라자 7층 ,14066,031-389-0114,37.3940555991,126.9644184604,,,,,,,,196784.059244886    ,432448.726631302    ,분뇨등관련영업관리,,,,,,,
안양시,(주)환경에너지오앤엠,폐업,20160919,"경기도 안양시 동안구 관평로69번길 29-7, 지층 1호 (평촌동)",경기도 안양시 동안구 평촌동 928-17번지 지층 1호,14103,031-382-8955,37.3828377,126.9636676,,20190626,,,,,,196718              ,431209              ,분뇨등관련영업관리,,,,,,,
안양시,에코이앤오(주),폐업,20150625,"경기도 안양시 동안구 시민대로 401, 1010호 (관양동, 대륭테크노타운15차)",경기도 안양시 동안구 관양동 224-5번지,14057,031-8040-2942,37.3970227,126.9746148,,20161111,,,,,,197692.013195996,432777.290386193,분뇨등관련영업관리,,,,,,,
안양시,에코이앤오(주),폐업,20150624,"경기도 안양시 동안구 시민대로 401, 1010호 (관양동, 대륭테크노타운15차)",경기도 안양시 동안구 관양동 224-5번지 대륭테크노타운15차,14057,031-8040-2942,37.3970227,126.9746148,,20161111,,,,,,197692.013195996,432777.290386193,분뇨등관련영업관리,,,,,,,
안양시,환경시설관리주식회사,영업,20160919,"경기도 안양시 만안구 일직로 **, *층 (석수동)",경기도 안양시 만안구 석수동 *** *층 ,,031-8091-2053,,,,,,,,,"하수, 폐수 및 분뇨 처리업",190294.347420973    ,435320.130513813    ,분뇨등관련영업관리,"하수, 폐수 및 분뇨 처리업",,,,0,,0
양주시,㈜바이오워터,영업,20210302,"경기도 양주시 부흥로 2148, 3층 2,3,4호 (삼숭동)",경기도 양주시 삼숭동 555-7 ,11485,,37.8064712023,127.0928442827,,,,,,,환경컨설팅 및 관련 엔지니어링 서비스업,208106.71172484     ,478221.149414111    ,분뇨등관련영업관리,환경컨설팅 및 관련 엔지니어링 서비스업,,,,,,
양주시,더죤환경기술(주),영업,20150908,경기도 양주시 덕정12길 38 (덕정동),경기도 양주시 덕정동 149-1번지,11450,031-851-0207,37.8426137,127.0652078,,,,,,,,205674.316056503,482237.727296796,분뇨등관련영업관리,,,,,,,
양주시,태일환경관리(주),영업,20141211,,,,0318442101,,,,,,,,,종합 건설업,202836.846860854    ,475835.683676285    ,분뇨등관련영업관리,종합 건설업,,,,0,,0
양평군,(주)매튜,폐업,20060901,경기도 양평군 강상면 강남로 689 (병산리),경기도 양평군 강상면 병산리 1056-6번지,12571,0317744474,37.4971375,127.4570134,,20081224,,,,,,240347.835062442,443985.536412925,분뇨등관련영업관리,,,,,,,
양평군,(주)매튜,폐업,20100820,경기도 양평군 강상면 강남로 689 (병산리),경기도 양평군 강상면 병산리 1056-6번지,12571,0317744474,37.4971375,127.4570134,,20111108,,,,,,240347.835062442,443985.536412925,분뇨등관련영업관리,,,,,,,
양평군,(주)미래환경건설,폐업,20041101,경기도 양평군 양평읍 중앙로 86 (공흥리),경기도 양평군 양평읍 공흥리 755-6번지,12558,0317718410,37.4939720,127.4981433,,20081209,,,,,,243986.841042303,443654.03845121,분뇨등관련영업관리,,,,,,,
양평군,(주)에코베이스,폐업,20030415,,경기도 양평군 용문면 다문리 647번지 심미아파트상가 201호,12515,031 7753666,37.4882771,127.5924957,,20081224,,,,,,252335.659722563,443071.400975693,분뇨등관련영업관리,,,,,,,
양평군,(주)영진환경토건,폐업,20001215,경기도 양평군 양평읍 시민로56번길 3-1 2층 (양근리),경기도 양평군 양평읍 양근리 192-72번지 2층,12561,031774 4464,37.4903870,127.4979274,,20081222,,,,,,243971.165,443257.445,분뇨등관련영업관리,,,,,,,
양평군,(주)한강종합환경,폐업,20010917,,경기도 양평군 양평읍 공흥리 340-1번지,12559,0317714500,37.4915492,127.5064722,,20081204,,,,,,244726.452610433,443390.122160323,분뇨등관련영업관리,,,,,,,
양평군,양평공사,영업,20121129,경기도 양평군 양평읍 경강로 ****,경기도 양평군 양평읍 대흥리 ***-** ,,031-774-0972,,,,,,,,,,247934.608032152    ,442937.12567563     ,분뇨등관련영업관리,,,,,0,,0
양평군,우리종합환경,폐업,20041120,경기도 양평군 양평읍 시민로 149 (공흥리),경기도 양평군 양평읍 공흥리 369-1번지,12559,0317751532,37.4903613,127.5082508,,20081231,,,,,,244884.343018596,443258.582269254,분뇨등관련영업관리,,,,,,,
양평군,유림엔마텍(주),폐업,19991011,경기도 양평군 옥천면 고읍로 10,경기도 양평군 옥천면 아신리 387-3번지,12508,0317724532,37.5116345,127.4475100,,20121025,,,,,,239499.714693862,445590.981208857,분뇨등관련영업관리,,,,,,,
양평군,청토종합환경,폐업,20020719,경기도 양평군 양평읍 양근로 76 (양근리),경기도 양평군 양평읍 양근리 501-3번지,12546,0317731303,37.4970493,127.4816423,,20081229,,,,,,242527.806180111,443988.866408617,분뇨등관련영업관리,,,,,,,
여주시,(주)환경에너지오앤엠,폐업,20160803,경기도 여주시 농산로 91 (상거동),경기도 여주시 상거동 123번지,12653,,37.2515317,127.6375236,,20170728,,,,,,256588.02573000000,417164.20739300000,분뇨등관련영업관리,,,,,,,
여주시,유진환경건설(주),영업,20010212,"경기도 여주시 영릉로 72, B동 2층 (창동)",경기도 여주시 창동 228번지 ,12626,031 886 1122,37.2930546650,127.6299667373,,,,,,,,262437.375953515    ,418808.500883272    ,분뇨등관련영업관리,,,,,,,
연천군,(주)일주종합건설,영업,20150907,,,,0315723214,,,,,,,,,,206372.144437159    ,501941.807904491    ,분뇨등관련영업관리,,,,,0,,0
오산시,(주)에코리프로덕션서비스,폐업,20100730,경기도 오산시 동부대로568번길 57 (부산동),경기도 오산시 부산동 420-1 ,18148,0313749602,37.1522113504,127.0862210111,,20180108,,,,,,207580.617933196    ,405606.589393237    ,분뇨등관련영업관리,,,,,,,
오산시,(주)에코리프로덕션서비스,영업,20100804,경기도 오산시 동부대로568번길 57 (부산동),경기도 오산시 부산동 420-1번지,18148,0313749602,37.1525840,127.0862727,,,,,,,,207580.617933196,405606.589393237,분뇨등관련영업관리,,,,,,,
오산시,주식회사 바이오립스,폐업,20101213,경기도 오산시 밀머리로 42 (원동),경기도 오산시 원동 379-1번지,18144,03180502205,37.1379770,127.0740904,,20121226,,,,,비료 및 농약 도매업,206516.375880394,404029.965696398,분뇨등관련영업관리,비료 및 농약 도매업,,,,,,
용인시,(주)대신환경기술,영업,20150122,"경기도 용인시 기흥구 동백중앙로16번길 16-4, 에이스 동백 타워 1동 1809호 (중동)",경기도 용인시 기흥구 중동 1033 에이스 동백 타워 1동 1809호,17015,0318982937,37.2563658009,127.1651202242,,,,,,,,214576.223500933    ,417184.705772188    ,분뇨등관련영업관리,,,,,,,
용인시,(주)레인솔루션,폐업,20140825,"경기도 용인시 처인구 경안천로 40-1, 202호 (마평동)",경기도 용인시 처인구 마평동 721-7번지,17153,031-321-1171,37.2366066,127.2104630,,20170220,,,,,,218610.530109332,414996.141228077,분뇨등관련영업관리,,,,,,,
용인시,(주)에코멤브레인,폐업,20130610,"경기도 용인시 처인구 이동읍 이원로 12, 402호",경기도 용인시 처인구 이동읍 130-7번지 ,17128,031-336-0053,37.1897756,127.2076769,,20190116,,,,,,218374.184856       ,409796.622691       ,분뇨등관련영업관리,,,,,,,
용인시,(주)에코멤브레인,폐업,20130304,"경기도 용인시 처인구 이동읍 이원로 12, 402호",경기도 용인시 처인구 이동읍 130-7번지 ,17128,031-336-0053,37.1897756,127.2076769,,20190116,,,,,,218374.184856       ,409796.622691       ,분뇨등관련영업관리,,,,,,,
용인시,농업회사법인 주식회사 팜엔코,영업,20191014,,,,031-548-1255,,,,,,,,,,211029.662690968    ,418883.776567485    ,분뇨등관련영업관리,,,,,0,,0
용인시,정하엔텍(주),영업,20200416,"경기도 용인시 기흥구 흥덕1로 43, 영덕레스피아 (영덕동)",경기도 용인시 기흥구 영덕동 1003 ,16954,0312110877,37.2722274330,127.0669318117,,,,,,,하수 처리업,205913.463479426    ,418913.22215862     ,분뇨등관련영업관리,하수 처리업,,,,,,
용인시,주흥환경(주),폐업,20140219,"경기도 용인시 수지구 대지로 58, 204,307호 (죽전동)",경기도 용인시 수지구 죽전동 1254-4번지 204호 307호 ,16873,031-257-7676,37.3285947,127.1153853,,20190107,,,,,,210184.959192621    ,425201.416614652    ,분뇨등관련영업관리,,,,,,,
의정부시,(주)석산환경산업,폐업,20000105,,경기도 의정부시 의정부동 591-4번지,11655,,37.7327071,127.0445487,,20080326,,,,,,,,분뇨등관련영업관리,,,,,,,
의정부시,(주)선일이엔씨,폐업,20070302,경기도 의정부시 신흥로 278  (의정부동),경기도 의정부시 의정부동 434-15번지,11670,,37.7407891,127.0433166,,20140123,,,,,,203753.831931879,470933.134735754,분뇨등관련영업관리,,,,,,,
의정부시,(주)선일이엔씨,폐업,20070302,"경기도 의정부시 신흥로 278  (의정부동,동보빌딩 3층)",경기도 의정부시 의정부동 434-15번지 동보빌딩 3층,11670,,37.7407891,127.0433166,,20140123,,,,,,203753.831931879,470933.134735754,분뇨등관련영업관리,,,,,,,
의정부시,(주)청담이엠텍,폐업,20060824,"경기도 의정부시 흥선로 102  (가능동,영일빌딩2층)",경기도 의정부시 가능동 746-33번지 영일빌딩2층,11672,,37.7422053,127.0380417,,20080325,,,,,,203288.819489338,471090.743122577,분뇨등관련영업관리,,,,,,,
의정부시,(주)플러스환경시스템,폐업,20040921,"경기도 의정부시 의정로 16  (의정부동,오성빌딩 5층)",경기도 의정부시 의정부동 533-6번지 오성빌딩 5층,11625,,37.7340975,127.0353493,,20110315,,,,,,203051.852431696,470191.060692901,분뇨등관련영업관리,,,,,,,
의정부시,구기이엔씨(주),폐업,20010103,"경기도 의정부시 망월로 18-26,  307호 (호원동,경기북부벤처센타)",경기도 의정부시 호원동 119-151번지 경기북부벤처센타 307호,11644,,37.7087416,127.0445693,,20111219,,,,,,203865.757150567,467377.033043907,분뇨등관련영업관리,,,,,,,
의정부시,대원환경,폐업,20050613,,경기도 의정부시 신곡동 684번지,11742,,37.7419004,127.0578168,,20080331,,,,,,205032.042187131,471059.084533915,분뇨등관련영업관리,,,,,,,
의정부시,서울정화조,영업,20020628,경기도 의정부시 평화로 598  (의정부동),경기도 의정부시 의정부동 227-48번지 ,11690,,37.7452929,127.0461783,,,,,,,,204006.882098143    ,471433.550480876    ,분뇨등관련영업관리,,,,,,,
의정부시,서울종합환경,폐업,19991208,경기도 의정부시 가능로68번길 20-1  (가능동),경기도 의정부시 가능동 726-14번지,11662,,37.7457640,127.0382703,,20090601,,,,,,203307.359673083,471485.516044235,분뇨등관련영업관리,,,,,,,
이천시,(주)도드람환경연구소,영업,20121019,경기도 이천시 신둔면 석동로161번길 97,경기도 이천시 신둔면 지석리 28-13번지,17301,031-631-0431,37.3304563,127.4319298,,,,,,,,238235.409447298,425455.265198692,분뇨등관련영업관리,,,,,,,
이천시,(주)순정에너지 환경,폐업,20180928,"경기도 이천시 증신로 273, 3층 301호 (송정동)",경기도 이천시 송정동 346-32 ,17344,031-633-3636,37.2951069968,127.4406641514,,20210318,,,,,환경컨설팅 및 관련 엔지니어링 서비스업,238993.473141913    ,421554.791053897    ,분뇨등관련영업관리,환경컨설팅 및 관련 엔지니어링 서비스업,,,,,,
이천시,(주)인스그린,영업,20140305,,,,,,,,,,,,,,238676.322147594    ,419739.054570095    ,분뇨등관련영업관리,,,,,0,,0
이천시,(주)지수테크,영업,20070315,,경기도 이천시 증포동 148-1번지,,,37.2883233,127.4517635,,,,,,,,239996.202066926,420808.61763403,분뇨등관련영업관리,,,,,,,
이천시,고려환경건설(주),영업,20200730,"경기도 이천시 경충대로2684번길 3, 2층 (관고동)",경기도 이천시 관고동 502-12 2층 ,17367,0316340119,37.2778335306,127.4355790847,,,,,,,,238561.136666666    ,419628.246666667    ,분뇨등관련영업관리,,,,,,,
이천시,선영환경건설(주),폐업,20150604,경기도 이천시 중부대로 1235-1 (장록동),경기도 이천시 부발읍 가좌리 333-22번지,17329,031-635-7800,37.2622227,127.4583273,,20151118,,,,,"하수처리, 폐기물처리 및 청소관련 서비스업",240590.475641691,417913.923844742,분뇨등관련영업관리,"하수처리, 폐기물처리 및 청소관련 서비스업",,,,,,
이천시,선일환경에너지(주),폐업,20160610,"경기도 이천시 남천로 12, 3층 (중리동)",경기도 이천시 중리동 235-9번지 3층,17376,023521682,37.2778034,127.4386329,,20180321,,,,,,238834.38,419637.1,분뇨등관련영업관리,,,,,,,
파주시,청록엔지니어링(주),영업,20151228,,,,031-949-3223,,,,,,,,,사업시설 유지관리 서비스업,175353.627052256    ,474474.87399844     ,분뇨등관련영업관리,사업시설 유지관리 서비스업,,,,0,,0
파주시,청해ENV(주),영업,20160122,,,,031-946-3695,,,,,,,,,"하수, 폐수 및 분뇨 처리업",180645.332434837    ,472458.611225545    ,분뇨등관련영업관리,"하수, 폐수 및 분뇨 처리업",,,,0,,0
평택시,(주)환경에너지오앤엠,휴업,20190626,경기도 평택시 현덕면 현덕로 684,경기도 평택시 현덕면 신왕리 309 ,17970,031-686-7888,36.9360896547,126.9635536883,,,20201201,,,,,196688.436467562    ,381622.793221422    ,분뇨등관련영업관리,,,,,,,
포천시,(주)대진바이오워터,영업,20201124,"경기도 포천시 호국로 1007, 대진대학교산학협력단 304호 (선단동)",경기도 포천시 선단동 산 11-1 대진대학교 ,11159,,37.8738066990,127.1575578525,,,,,,,분뇨 및 축산분뇨 처리업,213662.177362742    ,485365.536453517    ,분뇨등관련영업관리,분뇨 및 축산분뇨 처리업,,,,,,
포천시,(주)대진바이오워터,영업,20220128,"경기도 포천시 호국로 ****, 대진대학교산학협력단 ***호 (선단동)",경기도 포천시 선단동 산 **-* 대진대학교 ,,,,,,,,,,,분뇨 및 축산분뇨 처리업,213662.177362742    ,485365.536453517    ,분뇨등관련영업관리,분뇨 및 축산분뇨 처리업,,,,0,,0
포천시,(주)지이환경,폐업,20030627,경기도 포천시 내촌면 금강로 2519-28,경기도 포천시 내촌면 내리 157-1번지 ,11189,,37.7975965,127.2400784,,20190625,,,,,,221081.207377256    ,477263.362895407    ,분뇨등관련영업관리,,,,,,,
포천시,(주)지이환경,폐업,20110620,경기도 포천시 내촌면 금강로 2519-28,경기도 포천시 내촌면 내리 157-1번지 ,11189,,37.7975965,127.2400784,,20190625,,,,,,221081.207377256    ,477263.362895407    ,분뇨등관련영업관리,,,,,,,
포천시,(주)지이환경,폐업,20030627,경기도 포천시 내촌면 금강로 2519-28,경기도 포천시 내촌면 내리 157-1 ,11189,,37.7974513173,127.2401018846,,19000101,,,,,,221081.207377256    ,477263.362895407    ,분뇨등관련영업관리,,,,,,,
포천시,대성환경,폐쇄,20011207,경기도 포천시 중앙로 31  (신읍동),경기도 포천시 신읍동 376-1 ,11149,0315347733,37.8906258874,127.1973421642,,,,,,,,217286.76069745     ,487572.937049565    ,분뇨등관련영업관리,,,,,,,
포천시,서일종합환경,폐업,20010219,경기도 포천시 군내면 포천로 1367-29,경기도 포천시 군내면 용정리 237-24번지,11154,,37.8810252,127.2105533,,11111111,,,,,,218458.628159791,486518.080896919,분뇨등관련영업관리,,,,,,,
하남시,(주)한국종합기술,영업,20210907,,,,02-2049-2521,,,,,,,,,축산분뇨 처리업,218281.159611217    ,449964.900329853    ,분뇨등관련영업관리,축산분뇨 처리업,,,,0,,0
화성시,(주)동명기술공단종합건축사사무소,영업,20150608,"경기도 화성시 노작로*길 * (반송동,*층)동 (반송동)",경기도 화성시 반송동 ***-* ,,8003-8432,,,,,,,,,,206815.716001795    ,410542.36823571     ,분뇨등관련영업관리,,,,,0,,0
화성시,비케이환경종합건설(주),폐업,20170104,경기도 화성시 향남읍 서봉로 651-5,경기도 화성시 향남읍 동오리 700-11번지,18589,0313666236,37.1341746664,126.9529263813,,20180124,,,,,,195769              ,403601              ,분뇨등관련영업관리,,,,,,,
화성시,주식회사 동진씨앤지,영업,20191026,"경기도 화성시 동탄순환대로 830, 동탄 SK V1 center 1103호 (영천동)",경기도 화성시 영천동 397 동탄 SK V1 center ,18468,031-377-2984,37.2099930246,127.0970742504,,,,,,,,208532.427048019    ,412025.235669734    ,분뇨등관련영업관리,,,,,,,
